AverageSustainability,Scenario
0.1419731060927365,campaign
0.16665895721124857,campaign
0.19134480832976067,campaign
0.21603065944827274,campaign
0.24071651056678484,campaign
0.2654023616852969,campaign
0.290088212803809,campaign
0.3147740639223211,campaign
0.34032542309138414,campaign
0.36501127420989626,campaign
0.39301860921929666,campaign
0.4185933177105145,campaign
0.4432791688290266,campaign
0.47048473636217486,campaign
0.5002046144803195,campaign
0.5273188708166875,campaign
0.5545368394392594,campaign
0.5784958171092042,campaign
0.6010839450881833,campaign
0.6220092031213579,campaign
0.6413574036519436,campaign
0.6610164469089169,campaign
0.6802487412168889,campaign
0.696087680281317,campaign
0.7085500803635351,campaign
0.722621989806885,campaign
0.7340741817059072,campaign
0.7464789376444151,campaign
0.7550029925825287,campaign
0.7658660135191744,campaign
0.7743924714909974,campaign
0.7827403206884243,campaign
0.7890885820728212,campaign
0.796408350207205,campaign
0.8020032931610852,campaign
0.808776133590192,campaign
0.8145154239804819,campaign
0.8190470673027285,campaign
0.8232062703009162,campaign
0.8272826874434607,campaign
0.8313591045860051,campaign
0.8351932463410615,campaign
0.8383336134306905,campaign
0.841373701490137,campaign
0.8443174010586806,campaign
0.8471578429188108,campaign
0.849998284778941,campaign
0.8546085777537611,campaign
0.8574490196138912,campaign
0.8602894614740214,campaign
